temporada,hora,equipo,rival,condicion,goles_valencia,goles_rival,resultado_valencia,puntos,diferencia_goles,goles_descanso_valencia,goles_descanso_rival,resultado_descanso,fecha,anio,mes,dia_semana,semana_anio,temporada_id,temporada_num,franja,puntos_posibles,efectividad_puntos,resultado_num,victoria_bin,empate_bin,derrota_bin,local_bin,goles_totales,puntos_rolling_5,ventaja_descanso,remonto,remontado,partido_id,decada,competicion,jornada_num,fase_temporada
1994-1995,,Valencia,Tenerife,Local,2.0,1.0,V,3,1.0,,,,1994-09-18,1994,9,Domingo,37,1994,2,,3,1.0,1,1,0,0,1,3.0,6.0,,,,1994-1995_1994-09-18_TENERIFE_L,1990s,LaLiga,3,1
1994-1995,,Valencia,Sociedad,Visitante,2.0,0.0,V,3,2.0,,,,1994-09-25,1994,9,Domingo,38,1994,2,,3,1.0,1,1,0,0,0,2.0,9.0,,,,1994-1995_1994-09-25_SOCIEDAD_V,1990s,LaLiga,4,1
1994-1995,,Valencia,Oviedo,Local,1.0,0.0,V,3,1.0,,,,1994-10-01,1994,10,Sábado,39,1994,2,,3,1.0,1,1,0,0,1,1.0,12.0,,,,1994-1995_1994-10-01_OVIEDO_L,1990s,LaLiga,5,1
1994-1995,,Valencia,Valladolid,Visitante,0.0,2.0,D,0,-2.0,,,,1994-10-09,1994,10,Domingo,40,1994,2,,3,0.0,-1,0,0,1,0,2.0,9.0,,,,1994-1995_1994-10-09_VALLADOLID_V,1990s,LaLiga,6,1
1994-1995,,Valencia,Barcelona,Local,1.0,2.0,D,0,-1.0,,,,1994-10-15,1994,10,Sábado,41,1994,2,,3,0.0,-1,0,0,1,1,3.0,9.0,,,,1994-1995_1994-10-15_BARCELONA_L,1990s,LaLiga,7,1
1994-1995,,Valencia,La Coruna,Visitante,1.0,3.0,D,0,-2.0,,,,1994-10-23,1994,10,Domingo,42,1994,2,,3,0.0,-1,0,0,1,0,4.0,6.0,,,,1994-1995_1994-10-23_LACORUNA_V,1990s,LaLiga,8,1
1994-1995,,Valencia,Celta,Local,1.0,0.0,V,3,1.0,,,,1994-10-29,1994,10,Sábado,43,1994,2,,3,1.0,1,1,0,0,1,1.0,6.0,,,,1994-1995_1994-10-29_CELTA_L,1990s,LaLiga,9,1
1994-1995,,Valencia,Betis,Visitante,1.0,1.0,E,1,0.0,,,,1994-11-06,1994,11,Domingo,44,1994,2,,3,0.3333333333333333,0,0,1,0,0,2.0,4.0,,,,1994-1995_1994-11-06_BETIS_V,1990s,LaLiga,10,1
1994-1995,,Valencia,Real Madrid,Local,1.0,2.0,D,0,-1.0,,,,1994-11-19,1994,11,Sábado,46,1994,2,,3,0.0,-1,0,0,1,1,3.0,4.0,,,,1994-1995_1994-11-19_REALMADRID_L,1990s,LaLiga,11,1
1994-1995,,Valencia,Logrones,Visitante,2.0,2.0,E,1,0.0,,,,1994-11-27,1994,11,Domingo,47,1994,2,,3,0.3333333333333333,0,0,1,0,0,4.0,5.0,,,,1994-1995_1994-11-27_LOGRONES_V,1990s,LaLiga,12,1
1994-1995,,Valencia,Albacete,Local,3.0,3.0,E,1,0.0,,,,1994-12-03,1994,12,Sábado,48,1994,2,,3,0.3333333333333333,0,0,1,0,1,6.0,6.0,,,,1994-1995_1994-12-03_ALBACETE_L,1990s,LaLiga,13,1
1994-1995,,Valencia,Ath Bilbao,Visitante,1.0,2.0,D,0,-1.0,,,,1994-12-10,1994,12,Sábado,49,1994,2,,3,0.0,-1,0,0,1,0,3.0,3.0,,,,1994-1995_1994-12-10_ATHBILBAO_V,1990s,LaLiga,14,1
1994-1995,,Valencia,Sp Gijon,Local,0.0,0.0,E,1,0.0,,,,1994-12-21,1994,12,Miércoles,51,1994,2,,3,0.3333333333333333,0,0,1,0,1,0.0,3.0,,,,1994-1995_1994-12-21_SPGIJON_L,1990s,LaLiga,15,1
1994-1995,,Valencia,Santander,Visitante,2.0,3.0,D,0,-1.0,,,,1995-01-08,1995,1,Domingo,1,1994,2,,3,0.0,-1,0,0,1,0,5.0,3.0,,,,1994-1995_1995-01-08_SANTANDER_V,1990s,LaLiga,16,1
